title,genres,year,rating,language,clean_title,source,movieId
One Like It,"dramas, independent movies, international movies",2020,0.0,Mixed,one like it,netflix_titles.csv,4945.0
Perfume Imaginary Museum “Time Warp”,"international movies, music & musicals",2020,0.0,Mixed,perfume imaginary museum time warp,netflix_titles.csv,4946.0
Shadow and Bone,"tv action & adventure, tv dramas, tv sci-fi & fantasy",2021,0.0,Mixed,shadow and bone,netflix_titles.csv,4947.0
This Lady Called Life,"dramas, international movies, romantic movies",2020,0.0,Mixed,this lady called life,netflix_titles.csv,4948.0
Vizontele,"comedies, dramas, international movies",2001,0.0,Mixed,vizontele,netflix_titles.csv,4949.0
HOMUNCULUS,"horror movies, international movies, thrillers",2021,0.0,Mixed,homunculus,netflix_titles.csv,4950.0
Life in Color with David Attenborough,"british tv shows, docuseries, international tv shows",2021,0.0,Mixed,life in color with david attenborough,netflix_titles.csv,4951.0
Searching For Sheela,"documentaries, international movies",2021,0.0,Mixed,searching for sheela,netflix_titles.csv,4952.0
Stowaway,"dramas, international movies, thrillers",2021,0.0,Mixed,stowaway,netflix_titles.csv,4953.0
Wild Dog,"action & adventure, international movies",2020,0.0,Mixed,wild dog,netflix_titles.csv,4954.0
Oloibiri,"dramas, international movies, thrillers",2015,0.0,Mixed,oloibiri,netflix_titles.csv,4955.0
Tell Me When,"comedies, international movies",2021,0.0,Mixed,tell me when,netflix_titles.csv,4956.0
Zero,"international tv shows, tv comedies, tv dramas",2021,0.0,Mixed,zero,netflix_titles.csv,4957.0
Izzy's Koala World,kids' tv,2021,0.0,Mixed,izzys koala world,netflix_titles.csv,4958.0
Keymon and Nani in Space Adventure,"children & family movies, comedies",2013,0.0,Mixed,keymon and nani in space adventure,netflix_titles.csv,4959.0
Motu Patlu Dino Invasion,"children & family movies, comedies",2018,0.0,Mixed,motu patlu dino invasion,netflix_titles.csv,4960.0
Motu Patlu in Octupus World,"children & family movies, comedies",2017,0.0,Mixed,motu patlu in octupus world,netflix_titles.csv,4961.0
Motu Patlu VS Robo Kids,children & family movies,2019,0.0,Mixed,motu patlu vs robo kids,netflix_titles.csv,4962.0
Rudra: Secret of the Black Moon,children & family movies,2020,0.0,Mixed,rudra secret of the black moon,netflix_titles.csv,4963.0
Rudra: The Rise of King Pharaoh,children & family movies,2019,0.0,Mixed,rudra the rise of king pharaoh,netflix_titles.csv,4964.0
Free to Play,documentaries,2014,0.0,Mixed,free to play,netflix_titles.csv,4965.0
Luis Miguel - The Series,"international tv shows, spanish-language tv shows, tv dramas",2021,0.0,Mixed,luis miguel  the series,netflix_titles.csv,4966.0
Miss Sloane,thrillers,2016,0.0,Mixed,miss sloane,netflix_titles.csv,4967.0
PJ Masks,kids' tv,2019,0.0,Mixed,pj masks,netflix_titles.csv,4968.0
American Me,dramas,1992,0.0,Mixed,american me,netflix_titles.csv,4969.0
Delhi Belly,"action & adventure, comedies, international movies",2011,0.0,Mixed,delhi belly,netflix_titles.csv,4970.0
Dhobi Ghat (Mumbai Diaries),"dramas, international movies",2010,0.0,Mixed,dhobi ghat mumbai diaries,netflix_titles.csv,4971.0
Jaane Tu... Ya Jaane Na,"comedies, international movies, music & musicals",2008,0.0,Mixed,jaane tu ya jaane na,netflix_titles.csv,4972.0
Lagaan,"dramas, international movies, music & musicals",2001,0.0,Mixed,lagaan,netflix_titles.csv,4973.0
Madness in the Desert,"documentaries, international movies",2004,0.0,Mixed,madness in the desert,netflix_titles.csv,4974.0
Peepli Live,"comedies, dramas, independent movies",2010,0.0,Mixed,peepli live,netflix_titles.csv,4975.0
Taare Zameen Par,"dramas, international movies",2007,0.0,Mixed,taare zameen par,netflix_titles.csv,4976.0
Ajeeb Daastaans,"dramas, independent movies, international movies",2021,0.0,Mixed,ajeeb daastaans,netflix_titles.csv,4977.0
Arlo the Alligator Boy,"children & family movies, comedies, music & musicals",2021,0.0,Mixed,arlo the alligator boy,netflix_titles.csv,4978.0
Bakugan: Geogan Rising,"anime series, kids' tv",2021,0.0,Mixed,bakugan geogan rising,netflix_titles.csv,4979.0
Barbie & Chelsea: The Lost Birthday,children & family movies,2021,0.0,Mixed,barbie  chelsea the lost birthday,netflix_titles.csv,4980.0
Crimson Peak,"horror movies, romantic movies, sci-fi & fantasy",2015,0.0,Mixed,crimson peak,netflix_titles.csv,4981.0
Dad Stop Embarrassing Me - The Afterparty,comedies,2021,0.0,Mixed,dad stop embarrassing me  the afterparty,netflix_titles.csv,4982.0
Doctor Bello,"dramas, international movies",2013,0.0,Mixed,doctor bello,netflix_titles.csv,4983.0
Four Sisters Before the Wedding,"children & family movies, comedies, dramas",2020,0.0,Mixed,four sisters before the wedding,netflix_titles.csv,4984.0
Into the Beat,"dramas, international movies, romantic movies",2020,0.0,Mixed,into the beat,netflix_titles.csv,4985.0
Love Naggers,"international tv shows, stand-up comedy & talk shows",2021,0.0,Mixed,love naggers,netflix_titles.csv,4986.0
Rush,"action & adventure, dramas, international movies",2013,0.0,Mixed,rush,netflix_titles.csv,4987.0
Synchronic,thrillers,2020,0.0,Mixed,synchronic,netflix_titles.csv,4988.0
The Zookeeper's Wife,dramas,2017,0.0,Mixed,the zookeepers wife,netflix_titles.csv,4989.0
Time Trap,"action & adventure, sci-fi & fantasy",2017,0.0,Mixed,time trap,netflix_titles.csv,4990.0
Tuesdays & Fridays,"comedies, dramas, international movies",2021,0.0,Mixed,tuesdays  fridays,netflix_titles.csv,4991.0
Dancing Angels,"international tv shows, romantic tv shows, tv comedies",2016,0.0,Mixed,dancing angels,netflix_titles.csv,4992.0
Dark City Beneath the Beat,"documentaries, music & musicals",2020,0.0,Mixed,dark city beneath the beat,netflix_titles.csv,4993.0
Durarara!!,"anime series, crime tv shows, international tv shows",2016,0.0,Mixed,durarara,netflix_titles.csv,4994.0
GANTZ:O,"action & adventure, anime features, horror movies",2016,0.0,Mixed,gantzo,netflix_titles.csv,4995.0
Garth Brooks: The Road I’m On,docuseries,2019,0.0,Mixed,garth brooks the road im on,netflix_titles.csv,4996.0
Gilmore Girls,"romantic tv shows, tv comedies, tv dramas",2006,0.0,Mixed,gilmore girls,netflix_titles.csv,4997.0
High-Rise Invasion,"anime series, international tv shows, tv thrillers",2021,0.0,Mixed,highrise invasion,netflix_titles.csv,4998.0
Next in Fashion,reality tv,2020,0.0,Mixed,next in fashion,netflix_titles.csv,4999.0
Only Mine,thrillers,2019,0.0,Mixed,only mine,netflix_titles.csv,5000.0
Peasants Rebellion,"international tv shows, tv dramas",2018,0.0,Mixed,peasants rebellion,netflix_titles.csv,5001.0
Power Players,kids' tv,2020,0.0,Mixed,power players,netflix_titles.csv,5002.0
Ricky Zoom,"british tv shows, kids' tv",2019,0.0,Mixed,ricky zoom,netflix_titles.csv,5003.0
Ride or Die,"dramas, international movies, lgbtq movies",2021,0.0,Mixed,ride or die,netflix_titles.csv,5004.0
Sonic X,"anime series, kids' tv",2003,0.0,Mixed,sonic x,netflix_titles.csv,5005.0
The Master,"dramas, independent movies",2012,0.0,Mixed,the master,netflix_titles.csv,5006.0
Time Is Illmatic,"documentaries, music & musicals",2014,0.0,Mixed,time is illmatic,netflix_titles.csv,5007.0
Wave of Cinema: One Day We'll Talk About Today,"documentaries, international movies, music & musicals",2020,0.0,Mixed,wave of cinema one day well talk about today,netflix_titles.csv,5008.0
Zoot Suit,"cult movies, dramas, music & musicals",1981,0.0,Mixed,zoot suit,netflix_titles.csv,5009.0
Ajaibnya Cinta,"international tv shows, tv dramas",2015,0.0,Mixed,ajaibnya cinta,netflix_titles.csv,5010.0
Dad Stop Embarrassing Me!,tv comedies,2021,0.0,Mixed,dad stop embarrassing me,netflix_titles.csv,5011.0
Fate: The Winx Saga,"british tv shows, international tv shows, tv dramas",2021,0.0,Mixed,fate the winx saga,netflix_titles.csv,5012.0
House of Cards,"tv dramas, tv thrillers",2018,0.0,Mixed,house of cards,netflix_titles.csv,5013.0
Indian Matchmaking,"reality tv, romantic tv shows",2020,0.0,Mixed,indian matchmaking,netflix_titles.csv,5014.0
Jeffrey Epstein: Filthy Rich,"crime tv shows, docuseries",2020,0.0,Mixed,jeffrey epstein filthy rich,netflix_titles.csv,5015.0
Law School,"crime tv shows, international tv shows, tv dramas",2021,0.0,Mixed,law school,netflix_titles.csv,5016.0
Living with Yourself,"tv comedies, tv dramas",2019,0.0,Mixed,living with yourself,netflix_titles.csv,5017.0
Signal,"crime tv shows, international tv shows, korean tv shows",2016,0.0,Mixed,signal,netflix_titles.csv,5018.0
Slasher,"tv horror, tv mysteries, tv thrillers",2019,0.0,Mixed,slasher,netflix_titles.csv,5019.0
The Soul,"dramas, international movies, thrillers",2021,0.0,Mixed,the soul,netflix_titles.csv,5020.0
The Underclass,"international tv shows, tv dramas, teen tv shows",2020,0.0,Mixed,the underclass,netflix_titles.csv,5021.0
Unnatural Selection,"docuseries, science & nature tv",2019,0.0,Mixed,unnatural selection,netflix_titles.csv,5022.0
Uppena,"dramas, international movies, romantic movies",2020,0.0,Mixed,uppena,netflix_titles.csv,5023.0
Why Did You Kill Me?,documentaries,2021,0.0,Mixed,why did you kill me,netflix_titles.csv,5024.0
Motu Patlu in Hong Kong: Kung Fu Kings 3,"children & family movies, music & musicals",2017,0.0,Mixed,motu patlu in hong kong kung fu kings 3,netflix_titles.csv,5025.0
Motu Patlu in the City of Gold,"children & family movies, comedies, music & musicals",2018,0.0,Mixed,motu patlu in the city of gold,netflix_titles.csv,5026.0
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,"children & family movies, music & musicals",2018,0.0,Mixed,motu patlu kung fu kings 4 the challenge of kung fu brothers,netflix_titles.csv,5027.0
Motu Patlu the Superheroes – Super Villains from Mars,children & family movies,2019,0.0,Mixed,motu patlu the superheroes  super villains from mars,netflix_titles.csv,5028.0
My Love: Six Stories of True Love,docuseries,2021,0.0,Mixed,my love six stories of true love,netflix_titles.csv,5029.0
Shiva VS Autobots,children & family movies,2018,0.0,Mixed,shiva vs autobots,netflix_titles.csv,5030.0
Shiva: Journey to Plunotaria,children & family movies,2019,0.0,Mixed,shiva journey to plunotaria,netflix_titles.csv,5031.0
Shiva: The Secret World Of Vedas City,children & family movies,2017,0.0,Mixed,shiva the secret world of vedas city,netflix_titles.csv,5032.0
The Baker and the Beauty,"romantic tv shows, tv comedies, tv dramas",2020,0.0,Mixed,the baker and the beauty,netflix_titles.csv,5033.0
New Gods: Nezha Reborn,"action & adventure, anime features, international movies",2021,0.0,Mixed,new gods nezha reborn,netflix_titles.csv,5034.0
"Nicky, Ricky, Dicky & Dawn","kids' tv, tv comedies",2018,0.0,Mixed,nicky ricky dicky  dawn,netflix_titles.csv,5035.0
Don't be the First one,"international tv shows, reality tv",2021,0.0,Mixed,dont be the first one,netflix_titles.csv,5036.0
The Stand-In,comedies,2020,0.0,Mixed,the standin,netflix_titles.csv,5037.0
Heaven Official's Blessing,"anime series, international tv shows, romantic tv shows",2020,0.0,Mixed,heaven officials blessing,netflix_titles.csv,5038.0
Night in Paradise,"dramas, international movies",2021,0.0,Mixed,night in paradise,netflix_titles.csv,5039.0
Ojukokoro: Greed,"dramas, international movies, thrillers",2016,0.0,Mixed,ojukokoro greed,netflix_titles.csv,5040.0
Roohi,"comedies, horror movies, international movies",2021,0.0,Mixed,roohi,netflix_titles.csv,5041.0
Thunder Force,"action & adventure, comedies",2021,0.0,Mixed,thunder force,netflix_titles.csv,5042.0
Two Distant Strangers,dramas,2021,0.0,Mixed,two distant strangers,netflix_titles.csv,5043.0
Story of Kale: When Someone's in Love,"dramas, international movies, romantic movies",2020,0.0,Mixed,story of kale when someones in love,netflix_titles.csv,5044.0
The Way of the Househusband,"anime series, international tv shows",2021,0.0,Mixed,the way of the househusband,netflix_titles.csv,5045.0
Dolly Parton: A MusiCares Tribute,"documentaries, music & musicals",2021,0.0,Mixed,dolly parton a musicares tribute,netflix_titles.csv,5046.0
The Big Day,"international tv shows, reality tv, romantic tv shows",2021,0.0,Mixed,the big day,netflix_titles.csv,5047.0
The Wedding Coach,"reality tv, romantic tv shows",2021,0.0,Mixed,the wedding coach,netflix_titles.csv,5048.0
This Is a Robbery: The World's Biggest Art Heist,"crime tv shows, docuseries, tv mysteries",2021,0.0,Mixed,this is a robbery the worlds biggest art heist,netflix_titles.csv,5049.0
The Last Kids on Earth: Happy Apocalypse to You,"children & family movies, comedies",2021,0.0,Mixed,the last kids on earth happy apocalypse to you,netflix_titles.csv,5050.0
Coded Bias,documentaries,2020,0.0,Mixed,coded bias,netflix_titles.csv,5051.0
Mandela,"comedies, dramas, international movies",2021,0.0,Mixed,mandela,netflix_titles.csv,5052.0
The Fisherman's Diary,"dramas, international movies",2020,0.0,Mixed,the fishermans diary,netflix_titles.csv,5053.0
What Lies Below,"horror movies, thrillers",2020,0.0,Mixed,what lies below,netflix_titles.csv,5054.0
Escape from Planet Earth,"children & family movies, comedies, sci-fi & fantasy",2013,0.0,Mixed,escape from planet earth,netflix_titles.csv,5055.0
Accepted,comedies,2006,0.0,Mixed,accepted,netflix_titles.csv,5056.0
Air Strike,"action & adventure, dramas, international movies",2018,0.0,Mixed,air strike,netflix_titles.csv,5057.0
An American Girl: McKenna Shoots for the Stars,"children & family movies, comedies, dramas",2012,0.0,Mixed,an american girl mckenna shoots for the stars,netflix_titles.csv,5058.0
Concrete Cowboy,"dramas, independent movies",2021,0.0,Mixed,concrete cowboy,netflix_titles.csv,5059.0
Cross: Rise of the Villains,action & adventure,2019,0.0,Mixed,cross rise of the villains,netflix_titles.csv,5060.0
God Calling,"dramas, faith & spirituality, international movies",2018,0.0,Mixed,god calling,netflix_titles.csv,5061.0
Irul,"international movies, thrillers",2021,0.0,Mixed,irul,netflix_titles.csv,5062.0
Just Say Yes,"comedies, international movies, romantic movies",2021,0.0,Mixed,just say yes,netflix_titles.csv,5063.0
Madame Claude,"dramas, international movies",2021,0.0,Mixed,madame claude,netflix_titles.csv,5064.0
Wild Child,"comedies, romantic movies",2008,0.0,Mixed,wild child,netflix_titles.csv,5065.0
Woody Woodpecker,"children & family movies, comedies",2017,0.0,Mixed,woody woodpecker,netflix_titles.csv,5066.0
2012,"action & adventure, sci-fi & fantasy",2009,0.0,Mixed,2012,netflix_titles.csv,5067.0
3 Idiots,"comedies, dramas, international movies",2009,0.0,Mixed,3 idiots,netflix_titles.csv,5068.0
Ferrari Ki Sawaari,"comedies, international movies, sports movies",2012,0.0,Mixed,ferrari ki sawaari,netflix_titles.csv,5069.0
Glimpses of a Future,"docuseries, international tv shows",2020,0.0,Mixed,glimpses of a future,netflix_titles.csv,5070.0
Ibrahim a Fate to Define,"documentaries, international movies",2019,0.0,Mixed,ibrahim a fate to define,netflix_titles.csv,5071.0
Insidious,"horror movies, thrillers",2010,0.0,Mixed,insidious,netflix_titles.csv,5072.0
Into the Grizzly Maze,"action & adventure, horror movies",2015,0.0,Mixed,into the grizzly maze,netflix_titles.csv,5073.0
Kingsglaive: Final Fantasy XV,"action & adventure, sci-fi & fantasy",2016,0.0,Mixed,kingsglaive final fantasy xv,netflix_titles.csv,5074.0
Legally Blonde,"comedies, romantic movies",2001,0.0,Mixed,legally blonde,netflix_titles.csv,5075.0
Madam Chief Minister,"dramas, international movies",2020,0.0,Mixed,madam chief minister,netflix_titles.csv,5076.0
Magical Andes,"docuseries, international tv shows, science & nature tv",2021,0.0,Mixed,magical andes,netflix_titles.csv,5077.0
Maximum Risk,action & adventure,1996,0.0,Mixed,maximum risk,netflix_titles.csv,990.0
Murder Maps,"british tv shows, crime tv shows, docuseries",2017,0.0,Mixed,murder maps,netflix_titles.csv,5078.0
My Fair Lady,"classic movies, music & musicals",1964,0.0,Mixed,my fair lady,netflix_titles.csv,914.0
Prank Encounters,"reality tv, tv comedies, tv horror",2021,0.0,Mixed,prank encounters,netflix_titles.csv,5079.0
S.W.A.T.: Under Siege,"action & adventure, international movies",2017,0.0,Mixed,swat under siege,netflix_titles.csv,5080.0
Secrets of Great British Castles,"british tv shows, docuseries, international tv shows",2016,0.0,Mixed,secrets of great british castles,netflix_titles.csv,5081.0
Seven Souls in the Skull Castle: Season Bird,"action & adventure, dramas, international movies",2017,0.0,Mixed,seven souls in the skull castle season bird,netflix_titles.csv,5082.0
Seven Souls in the Skull Castle: Season Flower,"action & adventure, dramas, international movies",2017,0.0,Mixed,seven souls in the skull castle season flower,netflix_titles.csv,5083.0
Seven Souls in the Skull Castle: Season Wind,"action & adventure, dramas, international movies",2017,0.0,Mixed,seven souls in the skull castle season wind,netflix_titles.csv,5084.0
Sniper: Ghost Shooter,action & adventure,2016,0.0,Mixed,sniper ghost shooter,netflix_titles.csv,5085.0
Starship Troopers: Traitor of Mars,"action & adventure, sci-fi & fantasy",2017,0.0,Mixed,starship troopers traitor of mars,netflix_titles.csv,5086.0
Takers,action & adventure,2010,0.0,Mixed,takers,netflix_titles.csv,5087.0
Tersanjung the Movie,"dramas, international movies, romantic movies",2021,0.0,Mixed,tersanjung the movie,netflix_titles.csv,5088.0
The Knight and the Princess,"action & adventure, international movies, music & musicals",2019,0.0,Mixed,the knight and the princess,netflix_titles.csv,5089.0
The Pianist,"dramas, independent movies, international movies",2002,0.0,Mixed,the pianist,netflix_titles.csv,5090.0
The Stepfather,"horror movies, thrillers",2009,0.0,Mixed,the stepfather,netflix_titles.csv,5091.0
Universal Soldier: The Return,action & adventure,1999,0.0,Mixed,universal soldier the return,netflix_titles.csv,2807.0
Wazir,"dramas, international movies, thrillers",2016,0.0,Mixed,wazir,netflix_titles.csv,5092.0
White Boy,documentaries,2017,0.0,Mixed,white boy,netflix_titles.csv,5093.0
Worn Stories,"docuseries, reality tv",2021,0.0,Mixed,worn stories,netflix_titles.csv,5094.0
Yes Man,"comedies, romantic movies",2008,0.0,Mixed,yes man,netflix_titles.csv,5095.0
At Eternity's Gate,dramas,2018,0.0,Mixed,at eternitys gate,netflix_titles.csv,5096.0
Haunted: Latin America,"international tv shows, reality tv, spanish-language tv shows",2021,0.0,Mixed,haunted latin america,netflix_titles.csv,5097.0
Not a Game,"documentaries, international movies, sports movies",2020,0.0,Mixed,not a game,netflix_titles.csv,5098.0
Robocar Poli,"kids' tv, korean tv shows",2015,0.0,Mixed,robocar poli,netflix_titles.csv,5099.0
Yu-Gi-Oh!,"anime series, kids' tv",2005,0.0,Mixed,yugioh,netflix_titles.csv,5100.0
7 Yards: The Chris Norton Story,documentaries,2021,0.0,Mixed,7 yards the chris norton story,netflix_titles.csv,5101.0
Octonauts & the Ring of Fire,children & family movies,2021,0.0,Mixed,octonauts  the ring of fire,netflix_titles.csv,5102.0
Rainbow High,kids' tv,2020,0.0,Mixed,rainbow high,netflix_titles.csv,5103.0
Mandela: Long Walk to Freedom,"dramas, international movies",2013,0.0,Mixed,mandela long walk to freedom,netflix_titles.csv,5104.0
Lawless,dramas,2012,0.0,Mixed,lawless,netflix_titles.csv,5105.0
Marked,"documentaries, international movies",2021,0.0,Mixed,marked,netflix_titles.csv,5106.0
A Week Away,"children & family movies, faith & spirituality, music & musicals",2021,0.0,Mixed,a week away,netflix_titles.csv,5107.0
Bad Trip,comedies,2021,0.0,Mixed,bad trip,netflix_titles.csv,5108.0
Big Time Rush,kids' tv,2013,0.0,Mixed,big time rush,netflix_titles.csv,5109.0
Black Is Beltza,"dramas, international movies",2018,0.0,Mixed,black is beltza,netflix_titles.csv,5110.0
Croupier,"dramas, independent movies, thrillers",1998,0.0,Mixed,croupier,netflix_titles.csv,3783.0
Elizabeth and Margaret: Love and Loyalty,documentaries,2020,0.0,Mixed,elizabeth and margaret love and loyalty,netflix_titles.csv,5111.0
Keeping the Bees,"dramas, international movies",2020,0.0,Mixed,keeping the bees,netflix_titles.csv,5112.0
Magic for Humans Spain,"international tv shows, reality tv, spanish-language tv shows",2021,0.0,Mixed,magic for humans spain,netflix_titles.csv,5113.0
Ni de coña,"comedies, international movies",2020,0.0,Mixed,ni de coa,netflix_titles.csv,5114.0
Pagglait,"comedies, dramas, international movies",2021,0.0,Mixed,pagglait,netflix_titles.csv,5115.0
The Irregulars,"british tv shows, crime tv shows, international tv shows",2021,0.0,Mixed,the irregulars,netflix_titles.csv,5116.0
Caught by a Wave,"dramas, international movies, romantic movies",2021,0.0,Mixed,caught by a wave,netflix_titles.csv,5117.0
DOTA: Dragon's Blood,anime series,2021,0.0,Mixed,dota dragons blood,netflix_titles.csv,5118.0
Pui Pui Molcar,kids' tv,2021,0.0,Mixed,pui pui molcar,netflix_titles.csv,5119.0
Secret Magic Control Agency,"children & family movies, comedies",2021,0.0,Mixed,secret magic control agency,netflix_titles.csv,5120.0
Seaspiracy,documentaries,2021,0.0,Mixed,seaspiracy,netflix_titles.csv,5121.0
Loyiso Gola: Unlearning,stand-up comedy,2021,0.0,Mixed,loyiso gola unlearning,netflix_titles.csv,5122.0
Men on a Mission,"international tv shows, korean tv shows, stand-up comedy & talk shows",2021,0.0,Mixed,men on a mission,netflix_titles.csv,5123.0
Navillera,"international tv shows, tv dramas",2021,0.0,Mixed,navillera,netflix_titles.csv,5124.0
Philomena,"dramas, independent movies, international movies",2013,0.0,Mixed,philomena,netflix_titles.csv,5125.0
Any Crybabies Around?,"dramas, international movies",2020,0.0,Mixed,any crybabies around,netflix_titles.csv,5126.0
Hospital,"horror movies, international movies",2020,0.0,Mixed,hospital,netflix_titles.csv,5127.0
Jiu Jitsu,action & adventure,2020,0.0,Mixed,jiu jitsu,netflix_titles.csv,5128.0
Mighty Morphin Power Rangers,kids' tv,2010,0.0,Mixed,mighty morphin power rangers,netflix_titles.csv,5129.0
Alien TV,"kids' tv, tv comedies",2021,0.0,Mixed,alien tv,netflix_titles.csv,5130.0
Country Comfort,tv comedies,2021,0.0,Mixed,country comfort,netflix_titles.csv,5131.0
Formula 1: Drive to Survive,docuseries,2021,0.0,Mixed,formula 1 drive to survive,netflix_titles.csv,5132.0
Reframe THEATER EXPERIENCE with you,"international movies, music & musicals",2020,0.0,Mixed,reframe theater experience with you,netflix_titles.csv,5133.0
The Yin Yang Master,"action & adventure, international movies",2021,0.0,Mixed,the yin yang master,netflix_titles.csv,5134.0
Who's the Boss,"comedies, international movies, romantic movies",2020,0.0,Mixed,whos the boss,netflix_titles.csv,5135.0
B: The Beginning,"anime series, crime tv shows, international tv shows",2021,0.0,Mixed,b the beginning,netflix_titles.csv,5136.0
Deadly Illusions,thrillers,2021,0.0,Mixed,deadly illusions,netflix_titles.csv,5137.0
Get the Goat,"action & adventure, comedies, international movies",2021,0.0,Mixed,get the goat,netflix_titles.csv,5138.0
Nate Bargatze: The Greatest Average American,stand-up comedy,2021,0.0,Mixed,nate bargatze the greatest average american,netflix_titles.csv,5139.0
Skylines,action & adventure,2020,0.0,Mixed,skylines,netflix_titles.csv,5140.0
The Fluffy Movie,stand-up comedy,2014,0.0,Mixed,the fluffy movie,netflix_titles.csv,5141.0
The Present,"dramas, international movies",2020,0.0,Mixed,the present,netflix_titles.csv,5142.0
Wave of Cinema: 90's Generation,"documentaries, international movies, music & musicals",2020,0.0,Mixed,wave of cinema 90s generation,netflix_titles.csv,5143.0
Catch.er,"dramas, international movies, thrillers",2017,0.0,Mixed,catcher,netflix_titles.csv,5144.0
Operation Varsity Blues: The College Admissions Scandal,documentaries,2021,0.0,Mixed,operation varsity blues the college admissions scandal,netflix_titles.csv,5145.0
Under Suspicion: Uncovering the Wesphael Case,"crime tv shows, docuseries, international tv shows",2021,0.0,Mixed,under suspicion uncovering the wesphael case,netflix_titles.csv,5146.0
Get on Up,"dramas, music & musicals",2014,0.0,Mixed,get on up,netflix_titles.csv,5147.0
RebellComedy: Straight Outta the Zoo,stand-up comedy,2021,0.0,Mixed,rebellcomedy straight outta the zoo,netflix_titles.csv,5148.0
Savages,"dramas, thrillers",2012,0.0,Mixed,savages,netflix_titles.csv,5149.0
Waffles + Mochi,kids' tv,2021,0.0,Mixed,waffles  mochi,netflix_titles.csv,5150.0
Abla Fahita: Drama Queen,"crime tv shows, international tv shows, tv comedies",2021,0.0,Mixed,abla fahita drama queen,netflix_titles.csv,5151.0
C/O Kaadhal,"dramas, international movies, romantic movies",2021,0.0,Mixed,co kaadhal,netflix_titles.csv,5152.0
The BFG,"children & family movies, dramas",2016,0.0,Mixed,the bfg,netflix_titles.csv,5153.0
The Last Blockbuster,documentaries,2020,0.0,Mixed,the last blockbuster,netflix_titles.csv,5154.0
The Lost Pirate Kingdom,"docuseries, science & nature tv, tv action & adventure",2021,0.0,Mixed,the lost pirate kingdom,netflix_titles.csv,5155.0
Zero Chill,"british tv shows, kids' tv, tv dramas",2021,0.0,Mixed,zero chill,netflix_titles.csv,5156.0
Audrey,documentaries,2020,0.0,Mixed,audrey,netflix_titles.csv,5157.0
Çarsi Pazar,"comedies, international movies",2015,0.0,Mixed,arsi pazar,netflix_titles.csv,5158.0
Just In Time,"comedies, dramas, international movies",2020,0.0,Mixed,just in time,netflix_titles.csv,5159.0
Love Alarm,"international tv shows, korean tv shows, romantic tv shows",2021,0.0,Mixed,love alarm,netflix_titles.csv,5160.0
Mucize,"dramas, international movies",2015,0.0,Mixed,mucize,netflix_titles.csv,5161.0
Paper Lives,"dramas, international movies",2021,0.0,Mixed,paper lives,netflix_titles.csv,5162.0
Paradise PD,tv comedies,2021,0.0,Mixed,paradise pd,netflix_titles.csv,5163.0
Quiet,"dramas, international movies, music & musicals",2020,0.0,Mixed,quiet,netflix_titles.csv,5164.0
Romantik Komedi,"comedies, international movies, romantic movies",2010,0.0,Mixed,romantik komedi,netflix_titles.csv,5165.0
Romantik Komedi 2: Bekarlığa Veda,"comedies, international movies, romantic movies",2013,0.0,Mixed,romantik komedi 2 bekarla veda,netflix_titles.csv,5166.0
The One,"british tv shows, crime tv shows, international tv shows",2021,0.0,Mixed,the one,netflix_titles.csv,5167.0
You're Everything To Me,"comedies, dramas, independent movies",2016,0.0,Mixed,youre everything to me,netflix_titles.csv,5168.0
Coven of Sisters,"dramas, independent movies, international movies",2021,0.0,Mixed,coven of sisters,netflix_titles.csv,5169.0
Generasi 90an: Melankolia,"dramas, international movies",2020,0.0,Mixed,generasi 90an melankolia,netflix_titles.csv,5170.0
The Block Island Sound,"horror movies, independent movies",2020,0.0,Mixed,the block island sound,netflix_titles.csv,5171.0
Dealer,"crime tv shows, international tv shows, tv action & adventure",2021,0.0,Mixed,dealer,netflix_titles.csv,5172.0
Last Chance U: Basketball,docuseries,2021,0.0,Mixed,last chance u basketball,netflix_titles.csv,5173.0
Marriage or Mortgage,"reality tv, romantic tv shows",2021,0.0,Mixed,marriage or mortgage,netflix_titles.csv,5174.0
The Houseboat,"docuseries, international tv shows",2021,0.0,Mixed,the houseboat,netflix_titles.csv,5175.0
Bombay Begums,"international tv shows, tv dramas",2021,0.0,Mixed,bombay begums,netflix_titles.csv,5176.0
Bombay Rose,"dramas, independent movies, international movies",2021,0.0,Mixed,bombay rose,netflix_titles.csv,5177.0
My Way,"international tv shows, tv dramas",2015,0.0,Mixed,my way,netflix_titles.csv,5178.0
Aelay,"comedies, dramas, independent movies",2021,0.0,Mixed,aelay,netflix_titles.csv,5179.0
City of Ghosts,kids' tv,2021,0.0,Mixed,city of ghosts,netflix_titles.csv,5180.0
Dogwashers,"comedies, dramas, international movies",2021,0.0,Mixed,dogwashers,netflix_titles.csv,5181.0
Fate of Alakada,"comedies, international movies",2020,0.0,Mixed,fate of alakada,netflix_titles.csv,5182.0
Nevenka: Breaking the Silence,"docuseries, international tv shows, spanish-language tv shows",2021,0.0,Mixed,nevenka breaking the silence,netflix_titles.csv,5183.0
Pokémon Journeys: The Series,"anime series, kids' tv, tv action & adventure",2021,0.0,Mixed,pokmon journeys the series,netflix_titles.csv,5184.0
Sentinelle,"action & adventure, dramas, international movies",2021,0.0,Mixed,sentinelle,netflix_titles.csv,5185.0
